Country,Id,Income status1,Population size2,Plastic waste generation [tonnes]3,PlasticWasteShare,Solid waste generation [tonnes]1,"% Plastic in solid waste1,4",Per capita plastic waste generation [kg/year]3,% Inadequately managed waste5,% Littered waste6,% Mismanaged waste3,2016 Mismanaged plastic waste [tonnes]3,Notes on United States estimates,,,,,,,,,,,
Sao Tome and Principe,678,LMC,203227,2645.902,0.00114415,26999,9.8,13.01944131,NR,2,NR,NR,,,,,,,,,,,,
British Virgin Islands,#N/A,HIC,29355,2643.48,0.001143103,41960,6.3,90.05212059,19.7,2,21.7,573.63516,,,,,,,,,,,,
American Samoa,16,UMC,55741,2430.592,0.001051045,18989,12.8,43.60510217,NR,2,NR,NR,,,,,,,,,,,,
St. Martin (French part),#N/A,HIC,36065,2415.25,0.001044411,19322,12.5,66.96936088,NR,2,NR,NR,,,,,,,,,,,,
Tonga,776,UMC,101133,2391.766,0.001034256,17849,13.4,23.6497088,70,2,72,1722.07152,,,,,,,,,,,,
Dominica,212,UMC,71307,2166.72,0.000936941,13542,16,30.38579663,6,2,8,173.3376,,,,,,,,,,,,
Liechtenstein,438,HIC,37658,1916.244,0.000828629,35486,5.4,50.88544267,35.4,2,37.4,716.675256,,,,,,,,,,,,
Greenland,304,HIC,56186,1286.424,0.00055628,53601,2.4,22.89581034,0,2,2,25.72848,,,,,,,,,,,,
Marshall Islands,#N/A,UMC,57735,1126.58,0.00048716,8666,13,19.51294709,63.2,2,65.2,734.53016,,,,,,,,,,,,
San Marino,674,HIC,33504,961.8,0.000415905,17175,5.6,28.70702006,54.95,2,56.95,547.7451,,,,,,,,,,,,
Nauru,520,UMC,13049,888.36,0.000384148,5384,16.5,68.07877998,NR,2,NR,NR,,,,,,,,,,,,
Tuvalu,798,UMC,11225,658.185,0.000284615,3989,16.5,58.63563474,85,2,87,572.62095,,,,,,,,,,,,
Monaco,492,HIC,38070,506.85,0.000219174,50685,1,13.31363278,9.6,2,11.6,58.7946,,,,,,,,,,,,
Sint Maarten (Dutch part),534,HIC,39969,,0,,13,NR,NR,2,NR,NR,,,,,,,,,,,,
Turks and Caicos Islands,#N/A,HIC,36559,,0,,16.3,NR,NR,2,NR,NR,,,,,,,,,,,,
